company,description,archetype,industry,link
"Volkswagen (myVW App & IDA)","Multimodal virtual assistant integrated into the myVW app, leveraging Google's Gemini models to provide instant explanations for dashboard indicators. The IDA voice assistant incorporates ChatGPT for advanced natural language understanding in navigation, infotainment control, and answering general knowledge queries within the vehicle.",Customer,Manufacturing,https://www.vw.com/en/owners-and-services/connectivity-and-apps/myvw-app.html
"Uber Technologies","Employs AI-powered predictive ordering systems for its Uber Eats platform. Internally, GenAI is used for large-scale data annotation, comprehensive product testing across various scenarios, and content localization for over 100 languages to support its global operations.",Customer,Manufacturing,https://www.uber.com/us/en/scaled-solutions/generative-ai/
"Uber (TextSense)","Deployed TextSense, a GenAI-powered invoice processing system, significantly reducing manual effort by a factor of two, cutting invoice handling time by 70%, and achieving 25-30% cost savings while improving data accuracy to 90% for global financial operations.",Employee,Manufacturing,https://www.uber.com/newsroom/
"Uber (Internal Operations)","Utilizes AI tools to enhance internal efficiencies and productivity by providing automated conversation summaries for support staff interactions and streamlining investigative processes, leading to faster resolution times and improved service outcomes. Also uses AI for dynamic fare adjustments and real-time inventory management.",Employee,Manufacturing,https://www.uber.com/blog/engineering/
"Mercedes-Benz","Integration of GenAI into the MBUX (Mercedes-Benz User Experience) infotainment system to create a highly personalized in-car interface, offering proactive suggestions, learning driver preferences, and adapting system behavior over time.",Customer,Manufacturing,https://media.mercedes-benz.com/
"General Motors (OnStar)","Powering the OnStar Interactive Virtual Assistant with Google Cloud's Vertex AI Conversation platform to provide enhanced voice-activated services, emergency assistance, and in-vehicle support for GM vehicle owners.",Customer,Manufacturing,https://www.onstar.com/us/en/services/
"General Motors (Design)","Partnered with Autodesk to utilize generative design AI for optimizing vehicle components, exemplified by the redesign of a seatbelt bracket which resulted in a single-part design that is 40% lighter and 20% stronger than the original assembly.",Creative,Manufacturing,https://www.autodesk.com/customer-stories/general-motors
"Ford Motor Company (Internal LLM)","Beta-testing a proprietary Large Language Model (LLM) accessible to employees via a secure portal. This internal GenAI tool assists with drafting internal communications, generating marketing copy, and aiding in software development tasks, aiming to free up employee time for more strategic work.",Employee,Manufacturing,https://corporate.ford.com/
"Ford Motor Company (Ethical AI)","Development and implementation of comprehensive AI Ethics Principles based on seven key pillars (Trust, Social Responsibility, Safety, Fairness, Transparency, Privacy, Oversight, Best Practice) to guide the responsible use of AI across all company operations and product development.",Employee,Manufacturing,https://corporate.ford.com/microsites/ford-trends-2024/the-trust-algorithm.html
"BMW (Manufacturing)","Leveraging AI and machine vision in its manufacturing plants (e.g., Landshut) for the production of electric vehicle (EV) components, including battery assembly and electric engine housing, to enhance precision and quality control.",Employee,Manufacturing,https://www.bmwgroup-werke.com/munich/en/innovation/production-of-the-future.html
"Citi","Deployed AI coding tools to 30,000 developers to accelerate software development. Rolled out 'Stylus' document intelligence and 'Assist' virtual assistant to 143,000 employees for enhanced productivity and information access, leveraging Google Cloud for AI and analytics.",Code,Finance,https://www.citigroup.com/global/news/press-room
"Freenome","Developing blood tests for early cancer detection using a multiomics platform combined with AI and machine learning to identify signatures of colorectal and lung cancer from a standard blood draw.",Data,Healthcare,https://www.freenome.com/
"Mayo Clinic (Clinical Data Research)","Leveraging Google Cloud's Vertex AI Search and other AI tools to enable researchers to explore and analyze over 50 petabytes of de-identified clinical data, accelerating medical research and discovery.",Data,Healthcare,https://www.mayoclinic.org/research/artificial-intelligence
"Samsung (Galaxy AI)","Embedded Google's Gemini AI into the Galaxy S24 series smartphones to offer a suite of AI-driven features, including on-device text summarization, advanced image editing capabilities (Generative Edit), Live Translate for calls, Note Assist for organizing notes, and Browsing Assist for webpage summaries.",Customer,Manufacturing,https://www.samsung.com/global/galaxy/galaxy-ai/
"Trimble","Utilizes Gemini for Google Workspace to enhance engineering productivity and automate document generation for its software and hardware solutions in the construction, agriculture, and geospatial industries.",Employee,Manufacturing,https://construction.trimble.com/en/solutions/artificial-intelligence
"Best Buy","Introducing a generative AI-powered virtual assistant on BestBuy.com and the mobile app to help customers troubleshoot product issues, manage orders and subscriptions. Also deploying AI tools for customer care agents to provide real-time conversation analysis and sentiment detection.",Customer,Retail,https://corporate.bestbuy.com/best-buy-and-google-cloud-partner-to-bring-generative-ai-to-customers-and-employees/
"Salesforce (Einstein GPT)","Integrates generative AI into its CRM platform to automate tasks and create personalized content. It can automatically generate emails for salespeople, create knowledge articles from past case notes, and produce personalized content for marketing campaigns.",Creative,Sales,https://www.salesforce.com/products/einstein/
"LegalMation","Automates the drafting of initial responses to lawsuits and discovery requests, reducing drafting time by an estimated 80%.",Employee,Legal,https://www.legalmation.com/
"Shoosmiths (Cia)","An AI-powered contract review service named 'Cia' that can analyze a contract in minutes, resulting in up to an 80% cost saving on external legal fees per contract.",Employee,Legal,https://www.shoosmiths.com/
"Everlaw","AI-powered e-discovery platform used by law firms to sift through massive volumes of data in litigation cases, identify key documents, summarize information, and draft case narratives.",Data,Legal,https://www.everlaw.com/
"T-Mobile (with Textio)","Implemented an AI-based solution from Textio to ensure its recruitment messaging is inclusive, creating job posts and recruiting emails with language that is welcoming to all candidates to attract a more diverse talent pool.",Creative,HR,https://textio.com/
"Mastercard (with Phenom)","Utilized Phenom's AI-driven talent experience platform to streamline the interview scheduling process, leading to an 85% increase in scheduling efficiency and expanding their candidate database by 900%.",Employee,HR,https://www.phenom.com/
"McDonald's (McHire)","Implemented an AI assistant named Olivia to streamline recruitment tasks, resulting in a 65% reduction in time-to-hire and allowing managers to dedicate more time to customer service.",Employee,HR,https://www.paradox.ai/
"IBM","Utilizes AI-driven platforms to create personalized learning paths for its workforce based on an employee's role and career aspirations, and to facilitate mentorship programs.",Employee,HR,https://www.ibm.com/artificial-intelligence
"Khan Academy (Khanmigo)","A GPT-4 powered tutor and teaching assistant that guides students through problems step-by-step to encourage critical thinking.",Customer,Education,https://www.khanacademy.org/khan-labs
"Duolingo (Duolingo Max)","Uses GPT-4 to create conversational practice scenarios and explain learners' mistakes in a natural way for language learning.",Customer,Education,https://www.duolingo.com/max
"University of Leeds","Encouraged Advertising and Design master's program students to use generative AI for ideation and to create images for their submissions, focusing on the communication of ideas rather than technical illustration skills.",Creative,Education,https://www.leeds.ac.uk/
"Aberystwyth University","Conducted a classroom evaluation of an AI-generated summary of a scientific concept to help students become more aware of the limitations of AI-generated content and foster a discussion about the responsible use of these tools.",Data,Education,https://www.aber.ac.uk/
"JLL (JLL GPT™)","Developed its own generative AI platform, JLL GPT™, trained on JLL's extensive internal data, to provide its global workforce with data-driven insights for planning advice and investment opportunity identification.",Data,RealEstate,https://www.jll.com/
"Redfin (Ask Redfin)","Integrated a generative AI-powered virtual assistant, 'Ask Redfin,' into its platform to answer homebuyer questions about listings, driving high user engagement and generating leads.",Customer,RealEstate,https://www.redfin.com/
"Compass (Likely to Sell)","The 'Likely to Sell' AI tool predicts which contacts in an agent's network are most likely to list their homes for sale, generating over $150 million in incremental revenue in 2021.",Data,RealEstate,https://www.compass.com/
"AppFolio (Realm-X)","Integrated generative AI into its property management platform with features like Realm-X Messages and Realm-X Assistant, saving property managers an average of 11.9 hours per week on communication-related tasks.",Employee,RealEstate,https://www.appfolio.com/
"Runway ML","Generative AI tools that empower film editors to perform complex tasks like rotoscoping, object removal, and background generation with significantly greater speed and accuracy, slashing manual editing time by an estimated 40% in one documentary project.",Creative,Media,https://runwayml.com/
"Niantic (Peridot)","Used a generative AI model to give its virtual creatures, called 'Dots,' a wide range of actions and behaviors that evolve as the pet 'learns' and grows, allowing for unique and unpredictable interactions.",Creative,Media,https://peridot.nianticlabs.com/
"NetEase (Ni Shuihan)","In the game 'Ni Shuihan,' generative AI is used to create more realistic and interactive non-player characters (NPCs) who can engage in more natural conversations with players.",Creative,Media,https://www.neteasegames.com/
